
Observation dimension: 9
Action feature dimension: 32
Agent initialized on cuda. Starting training...

Ep  370/2000 | Steps:  29 | Util: 0.364 | WUtil: 0.000 | Items: 29/51 | MA50: 0.329 | Best: 0.402 | ε: 0.802 | Loss: 0.0002
Ep  380/2000 | Steps:  28 | Util: 0.274 | WUtil: 0.000 | Items: 28/51 | MA50: 0.330 | Best: 0.402 | ε: 0.796 | Loss: 0.0002
Ep  390/2000 | Steps:  32 | Util: 0.386 | WUtil: 0.000 | Items: 32/51 | MA50: 0.334 | Best: 0.402 | ε: 0.791 | Loss: 0.0002
Ep  400/2000 | Steps:  29 | Util: 0.329 | WUtil: 0.000 | Items: 29/51 | MA50: 0.338 | Best: 0.417 | ε: 0.785 | Loss: 0.0002
Ep  410/2000 | Steps:  30 | Util: 0.351 | WUtil: 0.000 | Items: 30/51 | MA50: 0.343 | Best: 0.454 | ε: 0.780 | Loss: 0.0002
Ep  420/2000 | Steps:  31 | Util: 0.381 | WUtil: 0.000 | Items: 31/51 | MA50: 0.347 | Best: 0.454 | ε: 0.774 | Loss: 0.0002
Ep  430/2000 | Steps:  27 | Util: 0.341 | WUtil: 0.000 | Items: 27/51 | MA50: 0.356 | Best: 0.454 | ε: 0.768 | Loss: 0.0002
Ep  440/2000 | Steps:  29 | Util: 0.317 | WUtil: 0.000 | Items: 29/51 | MA50: 0.357 | Best: 0.454 | ε: 0.763 | Loss: 0.0002
Ep  450/2000 | Steps:  30 | Util: 0.372 | WUtil: 0.000 | Items: 30/51 | MA50: 0.359 | Best: 0.454 | ε: 0.757 | Loss: 0.0002
Ep  460/2000 | Steps:  28 | Util: 0.350 | WUtil: 0.000 | Items: 28/51 | MA50: 0.357 | Best: 0.454 | ε: 0.751 | Loss: 0.0002
Ep  470/2000 | Steps:  29 | Util: 0.360 | WUtil: 0.000 | Items: 29/51 | MA50: 0.354 | Best: 0.454 | ε: 0.746 | Loss: 0.0002
