ep=083 steps=24 return=1.378 util=0.733 util_ma50=0.711 eps~0.356
ep=084 steps=20 return=1.304 util=0.682 util_ma50=0.712 eps~0.350
ep=085 steps=23 return=1.412 util=0.749 util_ma50=0.712 eps~0.343
ep=086 steps=20 return=1.452 util=0.764 util_ma50=0.713 eps~0.336
ep=087 steps=23 return=1.381 util=0.732 util_ma50=0.714 eps~0.329
ep=088 steps=21 return=1.279 util=0.675 util_ma50=0.714 eps~0.322
ep=089 steps=21 return=1.357 util=0.719 util_ma50=0.714 eps~0.316
ep=090 steps=21 return=1.391 util=0.735 util_ma50=0.716 eps~0.309
ep=091 steps=26 return=1.386 util=0.740 util_ma50=0.716 eps~0.301
ep=092 steps=23 return=1.341 util=0.711 util_ma50=0.715 eps~0.294
ep=093 steps=21 return=1.297 util=0.682 util_ma50=0.714 eps~0.287
ep=094 steps=20 return=1.303 util=0.684 util_ma50=0.712 eps~0.281
ep=095 steps=24 return=1.401 util=0.744 util_ma50=0.711 eps~0.273
ep=096 steps=24 return=1.399 util=0.743 util_ma50=0.711 eps~0.265
ep=097 steps=23 return=1.367 util=0.724 util_ma50=0.711 eps~0.258
ep=098 steps=24 return=1.252 util=0.663 util_ma50=0.711 eps~0.250
ep=099 steps=24 return=1.323 util=0.706 util_ma50=0.710 eps~0.243
ep=100 steps=19 return=1.339 util=0.705 util_ma50=0.710 eps~0.237
ep=101 steps=20 return=1.443 util=0.759 util_ma50=0.711 eps~0.231
ep=102 steps=23 return=1.362 util=0.723 util_ma50=0.711 eps~0.223
ep=103 steps=25 return=1.348 util=0.721 util_ma50=0.713 eps~0.215
ep=104 steps=25 return=1.382 util=0.739 util_ma50=0.713 eps~0.207
ep=105 steps=21 return=1.352 util=0.716 util_ma50=0.713 eps~0.201
ep=106 steps=24 return=1.334 util=0.710 util_ma50=0.711 eps~0.193
ep=107 steps=26 return=1.356 util=0.723 util_ma50=0.712 eps~0.185
ep=108 steps=23 return=1.344 util=0.714 util_ma50=0.712 eps~0.178
ep=109 steps=24 return=1.344 util=0.712 util_ma50=0.713 eps~0.170
ep=110 steps=21 return=1.232 util=0.649 util_ma50=0.713 eps~0.163
ep=111 steps=21 return=1.323 util=0.697 util_ma50=0.712 eps~0.157
ep=112 steps=30 return=1.507 util=0.812 util_ma50=0.714 eps~0.147
ep=113 steps=20 return=1.384 util=0.728 util_ma50=0.714 eps~0.141
ep=114 steps=24 return=1.442 util=0.764 util_ma50=0.715 eps~0.133
ep=115 steps=18 return=1.320 util=0.694 util_ma50=0.715 eps~0.128
ep=116 steps=25 return=1.421 util=0.759 util_ma50=0.717 eps~0.120
ep=117 steps=17 return=1.323 util=0.692 util_ma50=0.716 eps~0.114
ep=118 steps=22 return=1.295 util=0.687 util_ma50=0.716 eps~0.107
ep=119 steps=24 return=1.301 util=0.687 util_ma50=0.716 eps~0.100
ep=120 steps=27 return=1.487 util=0.798 util_ma50=0.717 eps~0.091
ep=121 steps=21 return=1.375 util=0.724 util_ma50=0.718 eps~0.085
ep=122 steps=23 return=1.305 util=0.691 util_ma50=0.717 eps~0.077
ep=123 steps=19 return=1.405 util=0.734 util_ma50=0.716 eps~0.071
ep=124 steps=21 return=1.354 util=0.714 util_ma50=0.716 eps~0.065
ep=125 steps=23 return=1.287 util=0.682 util_ma50=0.717 eps~0.057
ep=126 steps=17 return=1.347 util=0.703 util_ma50=0.716 eps~0.052
ep=127 steps=21 return=1.337 util=0.702 util_ma50=0.715 eps~0.050
ep=128 steps=24 return=1.334 util=0.709 util_ma50=0.716 eps~0.050
ep=129 steps=25 return=1.326 util=0.704 util_ma50=0.715 eps~0.050
ep=130 steps=19 return=1.382 util=0.730 util_ma50=0.717 eps~0.050
ep=131 steps=26 return=1.379 util=0.739 util_ma50=0.717 eps~0.050
ep=132 steps=22 return=1.423 util=0.751 util_ma50=0.719 eps~0.050
ep=133 steps=24 return=1.372 util=0.729 util_ma50=0.719 eps~0.050
ep=134 steps=26 return=1.464 util=0.780 util_ma50=0.721 eps~0.050
ep=135 steps=24 return=1.361 util=0.722 util_ma50=0.721 eps~0.050
ep=136 steps=25 return=1.368 util=0.730 util_ma50=0.720 eps~0.050
ep=137 steps=28 return=1.350 util=0.719 util_ma50=0.720 eps~0.050
ep=138 steps=20 return=1.336 util=0.706 util_ma50=0.720 eps~0.050
ep=139 steps=21 return=1.429 util=0.752 util_ma50=0.721 eps~0.050
ep=140 steps=22 return=1.328 util=0.705 util_ma50=0.720 eps~0.050
ep=141 steps=22 return=1.427 util=0.754 util_ma50=0.721 eps~0.050
ep=142 steps=21 return=1.385 util=0.734 util_ma50=0.721 eps~0.050
ep=143 steps=22 return=1.336 util=0.707 util_ma50=0.722 eps~0.050
ep=144 steps=26 return=1.259 util=0.674 util_ma50=0.721 eps~0.050
ep=145 steps=24 return=1.330 util=0.709 util_ma50=0.721 eps~0.050
ep=146 steps=23 return=1.299 util=0.691 util_ma50=0.720 eps~0.050
ep=147 steps=25 return=1.434 util=0.765 util_ma50=0.720 eps~0.050
ep=148 steps=25 return=1.391 util=0.741 util_ma50=0.722 eps~0.050
ep=149 steps=25 return=1.408 util=0.752 util_ma50=0.723 eps~0.050
ep=150 steps=19 return=1.255 util=0.659 util_ma50=0.722 eps~0.050
ep=151 steps=23 return=1.347 util=0.716 util_ma50=0.721 eps~0.050
